primaryName,avgRating,filmsCount,qualityIndex
Cinco Paul,6.24,11,68.64
Terrence Malick,6.86,10,68.6
Lilly Wachowski,6.86,10,68.6
Lana Wachowski,6.86,10,68.6
Sadik Sendil,8.55,8,68.4
Thomas Lennon,5.7,12,68.4
Richard Brooks,7.59,9,68.31
François Ozon,6.83,10,68.3
Pierre Boulle,6.82,10,68.2
Wim Wenders,7.57,9,68.13
David N. Weiss,5.67,12,68.04
Neal Purvis,6.78,10,67.8
Julian Fellowes,6.78,10,67.8
Robert Wade,6.78,10,67.8
Simon Kinberg,6.16,11,67.76
Tom Mankiewicz,6.77,10,67.7
Dan Fogelman,6.74,10,67.4
Charles Shyer,6.12,11,67.32
Jim Starlin,7.47,9,67.23
James V. Hart,6.7,10,67.0
Jack Thorne,6.7,10,67.0
Mike Leigh,7.41,9,66.69
Abbas Tyrewala,6.65,10,66.5
Bong Joon Ho,7.38,9,66.42
Parveez Shaikh,6.64,10,66.4
Steve Oedekerk,6.03,11,66.33
Jim Abrahams,6.63,10,66.3
Barry Levinson,6.62,10,66.2
Joe Ranft,7.34,9,66.06
Frances Goodrich,7.32,9,65.88
Albert Hackett,7.32,9,65.88
J.J. Abrams,6.56,10,65.6
Ron Clements,7.28,9,65.52
John Musker,7.28,9,65.52
John Collee,6.55,10,65.5
Niranjan Iyengar,6.55,10,65.5
Mark Rosenthal,5.95,11,65.45
Peter Straughan,6.54,10,65.4
Tom McCarthy,7.26,9,65.34
Peter Morgan,7.26,9,65.34
Larry Karaszewski,6.53,10,65.3
Scott Alexander,6.53,10,65.3
Lewis Colick,6.53,10,65.3
Yavuz Turgul,8.13,8,65.04
Mario Puzo,7.21,9,64.89
Rajendra Sapre,7.21,9,64.89
Terry Jones,7.2,9,64.8
John Waters,6.48,10,64.8
Jonathan Hensleigh,6.46,10,64.6
Charlie Kaufman,7.17,9,64.53
John Francis Daley,6.45,10,64.5
Jonathan Goldstein,6.45,10,64.5
Zack Snyder,6.42,10,64.2
James Schamus,7.1,9,63.9
John L. Balderston,7.1,9,63.9
Seth Rogen,6.38,10,63.8
Susannah Grant,6.37,10,63.7
Caroline Thompson,7.07,9,63.63
Robin Bhatt,6.36,10,63.6
Jacques Audiard,7.06,9,63.54
Suresh Nair,7.04,9,63.36
Scott Neustadter,7.0,9,63.0
Michael H. Weber,7.0,9,63.0
Chris Weitz,6.23,10,62.3
J.R.R. Tolkien,7.78,8,62.24
David Loughery,5.65,11,62.15
Nick Hornby,6.9,9,62.1
H.P. Lovecraft,6.21,10,62.1
Andrew Niccol,6.89,9,62.01
Cameron Crowe,6.89,9,62.01
David Zucker,6.2,10,62.0
Aline Brosh McKenna,6.2,10,62.0
Farhan Akhtar,6.86,9,61.74
